"Ketinggian Ibu Kota Kabupaten, Nama dan Luas Danau  di Provinsi Bali",,,,
"Latitude of Capital Cities, Name, and Width of Lakes  in Bali Province",,,,
,,,,
Kabupaten/Kota,Tinggi Tempat,Danau,Luasnya,
Regency/Municipality,Latitude (meter),Lake,Area (Ha),
Jembrana,12,-,-            ,
Tabanan,124,     1. Beratan, 370.00     ,
Badung,25,-,-            ,
Gianyar,126,-,-            ,
Klungkung,93,-,-            ,
Bangli,425,      1. Batur,1 607.50     ,
Karangasem,102,-,-            ,
Buleleng,60,      1. Buyan, 360.00     ,
,,      2. Tamblingan, 110.00     ,
Denpasar,25,-,-            ,
,,,,
Keterangan  :   Ketinggian Dihitung di Atas 0 Meter dari Permukaan Laut,,,,
Explanation  :   The Height Was Counted Above 0 Meter From Sea Level,,,,
,,,,
Sumber    :   Topografi Kodam IX/Udayana,,,,
Source    :   Topography office of Kodam IX/Udayana,,,,
,,,,
,,,,
